characterNum,name_en,name_ko,bestWeapon_code,weapon_type_en,weapon_name_ko,character_weapon_key,character_role_main_default,character_role_alt_default,character_role_sub_1_default,character_role_sub_2_default,role_main,role_alt,role_sub_1,role_sub_2,weapon_role_notes,mapping_source,review_status,pick_count,game_count
10,LiDailin,리 다이린,20,Nunchaku,쌍절곤,리 다이린|쌍절곤,브루저,,,,브루저,,,,글러브/쌍절곤 모두 근접 난전형이라 기본 브루저 유지 | namu_guide_roles=전사,character_default_multi_reviewed_search,reviewed,3124,2978
11,Yuki,유키,16,TwoHandSword,양손검,유키|양손검,근거리 딜러,브루저,,,근거리 딜러,브루저,,,양손검 유키는 근거리 딜러 유지 | namu_guide_roles=전사,weapon_override_search,reviewed,8823,7694
11,Yuki,유키,18,DualSword,쌍검,유키|쌍검,근거리 딜러,브루저,,,암살,브루저,,,쌍검 유키는 암살 성향이 더 강함 | namu_guide_roles=전사,weapon_override_search,reviewed,4239,3969
12,Hyejin,혜진,6,Shuriken,암기,혜진|암기,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_multi_low_risk_confirmed,reviewed,731,723
12,Hyejin,혜진,7,Bow,활,혜진|활,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_multi_low_risk_confirmed,reviewed,3658,3476
13,Xiukai,쇼우,15,Dagger,단검,쇼우|단검,탱커,,,,브루저,탱커,,,단검 쇼우는 보다 공격적인 전방 압박형으로 분리 | namu_guide_roles=탱커,weapon_override_search,reviewed,2349,2261
13,Xiukai,쇼우,19,Spear,창,쇼우|창,탱커,,,,탱커,,,,창 쇼우는 기본 탱커 유지 | namu_guide_roles=탱커,weapon_override_search,reviewed,1368,1343
14,Chiara,키아라,21,Rapier,레이피어,키아라|레이피어,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_confirmed,reviewed,7029,6281
15,Sissela,시셀라,5,Throw,투척,시셀라|투척,메이지,,,,메이지,,,,암기/투척 모두 견제형 주문 딜러 성격이라 기본 메이지 유지 | namu_guide_roles=스킬 딜러,character_default_multi_reviewed_search,reviewed,2392,2162
15,Sissela,시셀라,6,Shuriken,암기,시셀라|암기,메이지,,,,메이지,,,,암기/투척 모두 견제형 주문 딜러 성격이라 기본 메이지 유지 | namu_guide_roles=스킬 딜러,character_default_multi_reviewed_search,reviewed,3967,3710
16,Silvia,실비아,9,Pistol,권총,실비아|권총,브루저,메이지,,,브루저,메이지,,,namu_guide_roles=스킬 딜러 + 전사,character_default_confirmed,reviewed,5074,4727
17,Adriana,아드리아나,5,Throw,투척,아드리아나|투척,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,5362,4958
18,Shoichi,쇼이치,15,Dagger,단검,쇼이치|단검,암살,,,,암살,,,,namu_guide_roles=암살자,character_default_confirmed,reviewed,12705,10623
19,Emma,엠마,6,Shuriken,암기,엠마|암기,메이지,,,,메이지,,,,암기/아르카나 모두 주문 기반 운영이라 기본 메이지 유지 | namu_guide_roles=스킬 딜러,character_default_multi_reviewed_search,reviewed,3665,3468
19,Emma,엠마,24,Arcana,아르카나,엠마|아르카나,메이지,,,,메이지,,,,암기/아르카나 모두 주문 기반 운영이라 기본 메이지 유지 | namu_guide_roles=스킬 딜러,character_default_multi_reviewed_search,reviewed,2067,1863
20,Lenox,레녹스,4,Whip,채찍,레녹스|채찍,탱커,,,,탱커,,,,namu_guide_roles=탱커,character_default_confirmed,reviewed,10975,9228
21,Rozzi,로지,9,Pistol,권총,로지|권총,원거리 딜러,,,,원거리 딜러,,,,namu_guide_roles=원거리 딜러,character_default_confirmed,reviewed,11109,9490
22,Luke,루크,3,Bat,방망이,루크|방망이,근거리 딜러,브루저,,,근거리 딜러,브루저,,,namu_guide_roles=전사,character_default_confirmed,reviewed,15030,12157
23,Cathy,캐시,15,Dagger,단검,캐시|단검,암살,,,,암살,,,,namu_guide_roles=암살자,character_default_multi_low_risk_confirmed,reviewed,2795,2686
23,Cathy,캐시,18,DualSword,쌍검,캐시|쌍검,암살,,,,암살,,,,namu_guide_roles=암살자,character_default_multi_low_risk_confirmed,reviewed,807,803
24,Adela,아델라,3,Bat,방망이,아델라|방망이,메이지,,,,메이지,,,,레이피어/방망이 모두 체스 운영형 주문 딜러 성격이라 기본 메이지 유지 | namu_guide_roles=스킬 딜러,character_default_multi_reviewed_search,reviewed,1317,1292
24,Adela,아델라,21,Rapier,레이피어,아델라|레이피어,메이지,,,,메이지,,,,레이피어/방망이 모두 체스 운영형 주문 딜러 성격이라 기본 메이지 유지 | namu_guide_roles=스킬 딜러,character_default_multi_reviewed_search,reviewed,2782,2682
25,Bernice,버니스,11,SniperRifle,저격총,버니스|저격총,원거리 딜러,,,,원거리 딜러,,,,namu_guide_roles=원거리 딜러,character_default_confirmed,reviewed,5361,4920
26,Barbara,바바라,9,Pistol,권총,바바라|권총,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,7117,6362
27,Alex,알렉스,2,Tonfa,톤파,알렉스|톤파,브루저,,,,브루저,,,,톤파 알렉스는 브루저 유지 | namu_guide_roles=전사,weapon_override_search,reviewed,2348,2269
27,Alex,알렉스,6,Shuriken,암기,알렉스|암기,브루저,,,,암살,브루저,,,암기 알렉스는 암살로 분리 | namu_guide_roles=전사,weapon_override_search,reviewed,2147,2073
27,Alex,알렉스,9,Pistol,권총,알렉스|권총,브루저,,,,원거리 딜러,브루저,,,권총 알렉스는 원거리 딜러로 분리 | namu_guide_roles=전사,weapon_override_search,reviewed,3873,3662
27,Alex,알렉스,16,TwoHandSword,양손검,알렉스|양손검,브루저,,,,브루저,,,,양손검 알렉스는 브루저 유지 | namu_guide_roles=전사,weapon_override_search,reviewed,4209,3912
28,Sua,수아,3,Bat,방망이,수아|방망이,브루저,메이지,,,브루저,메이지,,,방망이/망치 모두 전방 난전형이라 기본 브루저 유지 | namu_guide_roles=스킬 딜러 + 전사,character_default_multi_reviewed_search,reviewed,3710,3366
28,Sua,수아,13,Hammer,망치,수아|망치,브루저,메이지,,,브루저,메이지,,,방망이/망치 모두 전방 난전형이라 기본 브루저 유지 | namu_guide_roles=스킬 딜러 + 전사,character_default_multi_reviewed_search,reviewed,3508,3322
29,Leon,레온,1,Glove,글러브,레온|글러브,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_multi_low_risk_confirmed,reviewed,7552,6685
29,Leon,레온,2,Tonfa,톤파,레온|톤파,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_multi_low_risk_confirmed,reviewed,1497,1457
30,Eleven,일레븐,13,Hammer,망치,일레븐|망치,탱커,,,,탱커,,,,namu_guide_roles=탱커,character_default_confirmed,reviewed,7473,6621
31,Rio,리오,7,Bow,활,리오|활,원거리 딜러,,,,원거리 딜러,,,,namu_guide_roles=원거리 딜러,character_default_confirmed,reviewed,16209,12894
32,William,윌리엄,5,Throw,투척,윌리엄|투척,원거리 딜러,,,,원거리 딜러,,,,namu_guide_roles=원거리 딜러,character_default_confirmed,reviewed,4930,4570
33,Nicky,니키,1,Glove,글러브,니키|글러브,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_confirmed,reviewed,8246,7336
34,Nathapon,나타폰,23,Camera,카메라,나타폰|카메라,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,6650,5987
35,Jan,얀,1,Glove,글러브,얀|글러브,브루저,,,,브루저,,,,글러브/톤파 모두 전방 압박형이라 기본 브루저 유지 | namu_guide_roles=전사,character_default_multi_reviewed_search,reviewed,4214,3956
35,Jan,얀,2,Tonfa,톤파,얀|톤파,브루저,,,,브루저,,,,글러브/톤파 모두 전방 압박형이라 기본 브루저 유지 | namu_guide_roles=전사,character_default_multi_reviewed_search,reviewed,4210,3920
36,Eva,이바,5,Throw,투척,이바|투척,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,5641,5196
37,Daniel,다니엘,15,Dagger,단검,다니엘|단검,암살,,,,암살,,,,namu_guide_roles=암살자,character_default_confirmed,reviewed,3174,3022
38,Jenny,제니,9,Pistol,권총,제니|권총,원거리 딜러,,,,원거리 딜러,,,,namu_guide_roles=원거리 딜러,character_default_confirmed,reviewed,1990,1943
39,Camilo,카밀로,18,DualSword,쌍검,카밀로|쌍검,암살,브루저,,,암살,브루저,,,레이피어/쌍검 모두 후방 침투형이라 기본 암살 유지 | namu_guide_roles=전사,character_default_multi_reviewed_search,reviewed,3909,3692
39,Camilo,카밀로,21,Rapier,레이피어,카밀로|레이피어,암살,브루저,,,암살,브루저,,,레이피어/쌍검 모두 후방 침투형이라 기본 암살 유지 | namu_guide_roles=전사,character_default_multi_reviewed_search,reviewed,4692,4363
40,Chloe,클로에,6,Shuriken,암기,클로에|암기,원거리 딜러,,,,원거리 딜러,,,,namu_guide_roles=원거리 딜러,character_default_confirmed,reviewed,3718,3514
41,Johann,요한,24,Arcana,아르카나,요한|아르카나,유틸,,,,유틸,,,,namu_guide_roles=지원가,character_default_confirmed,reviewed,1435,1407
42,Bianca,비앙카,24,Arcana,아르카나,비앙카|아르카나,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,8937,7751
43,Celine,셀린,5,Throw,투척,셀린|투척,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,3127,2997
44,Echion,에키온,25,VFArm,VF의수,에키온|VF의수,근거리 딜러,브루저,,,근거리 딜러,브루저,,,namu_guide_roles=전사,character_default_confirmed,reviewed,3943,3687
45,Mai,마이,4,Whip,채찍,마이|채찍,탱커,유틸,,,탱커,유틸,,,namu_guide_roles=탱커 + 지원가,character_default_confirmed,reviewed,4016,3761
46,Aiden,에이든,16,TwoHandSword,양손검,에이든|양손검,근거리 딜러,브루저,,,근거리 딜러,브루저,,,namu_guide_roles=전사,character_default_confirmed,reviewed,9258,8005
47,Laura,라우라,4,Whip,채찍,라우라|채찍,암살,브루저,,,암살,브루저,,,namu_guide_roles=전사,character_default_confirmed,reviewed,5231,4845
48,Tia,띠아,3,Bat,방망이,띠아|방망이,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,6006,5532
49,Felix,펠릭스,19,Spear,창,펠릭스|창,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_confirmed,reviewed,6004,5468
50,Elena,엘레나,21,Rapier,레이피어,엘레나|레이피어,탱커,,,,탱커,,,,namu_guide_roles=탱커,character_default_confirmed,reviewed,6107,5494
51,Priya,프리야,22,Guitar,기타,프리야|기타,메이지,유틸,,,메이지,유틸,,,namu_guide_roles=스킬 딜러 + 지원가,character_default_confirmed,reviewed,2772,2652
52,Adina,아디나,24,Arcana,아르카나,아디나|아르카나,메이지,유틸,,,메이지,유틸,,,namu_guide_roles=스킬 딜러 + 지원가,character_default_confirmed,reviewed,4258,3980
53,Markus,마커스,13,Hammer,망치,마커스|망치,탱커,브루저,,,탱커,브루저,,,망치 마커스는 기본 탱커 유지 | namu_guide_roles=전사 + 탱커,weapon_override_search,reviewed,5792,5249
53,Markus,마커스,14,Axe,도끼,마커스|도끼,탱커,브루저,,,브루저,탱커,,,도끼 마커스는 공격 성향을 반영해 브루저로 분리 | namu_guide_roles=전사 + 탱커,weapon_override_search,reviewed,5573,5036
54,Karla,칼라,8,CrossBow,석궁,칼라|석궁,원거리 딜러,,,,원거리 딜러,,,,namu_guide_roles=원거리 딜러,character_default_confirmed,reviewed,4276,4022
55,Estelle,에스텔,14,Axe,도끼,에스텔|도끼,탱커,브루저,,,탱커,브루저,,,namu_guide_roles=전사 + 탱커,character_default_confirmed,reviewed,6285,5680
56,Piolo,피올로,20,Nunchaku,쌍절곤,피올로|쌍절곤,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_confirmed,reviewed,4075,3836
57,Martina,마르티나,23,Camera,카메라,마르티나|카메라,원거리 딜러,,,,원거리 딜러,,,,namu_guide_roles=원거리 딜러,character_default_confirmed,reviewed,2261,2184
58,Haze,헤이즈,10,AssaultRifle,돌격소총,헤이즈|돌격소총,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,11812,9897
59,Isaac,아이작,2,Tonfa,톤파,아이작|톤파,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_confirmed,reviewed,8550,7459
60,Tazia,타지아,6,Shuriken,암기,타지아|암기,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,2456,2366
61,Irem,이렘,5,Throw,투척,이렘|투척,근거리 딜러,브루저,,,근거리 딜러,브루저,,,namu_guide_roles=스킬 딜러 + 전사,character_default_confirmed,reviewed,4138,3867
62,Theodore,테오도르,11,SniperRifle,저격총,테오도르|저격총,원거리 딜러,유틸,,,원거리 딜러,유틸,,,namu_guide_roles=원거리 딜러 + 지원가,character_default_confirmed,reviewed,5325,4924
63,Lyanh,이안,15,Dagger,단검,이안|단검,근거리 딜러,브루저,,,근거리 딜러,브루저,,,namu_guide_roles=전사,character_default_confirmed,reviewed,5324,4903
64,Vanya,바냐,24,Arcana,아르카나,바냐|아르카나,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_confirmed,reviewed,12442,10107
65,DebiMarlene,데비&마를렌,16,TwoHandSword,양손검,데비&마를렌|양손검,근거리 딜러,브루저,,,근거리 딜러,브루저,,,namu_guide_roles=전사,character_default_confirmed,reviewed,17765,13821
66,Arda,아르다,24,Arcana,아르카나,아르다|아르카나,메이지,유틸,,,메이지,유틸,,,namu_guide_roles=스킬 딜러 + 지원가,character_default_confirmed,reviewed,4385,4091
67,Abigail,아비게일,14,Axe,도끼,아비게일|도끼,암살,브루저,,,암살,브루저,,,namu_guide_roles=전사,character_default_confirmed,reviewed,15036,12087
68,Alonso,알론소,1,Glove,글러브,알론소|글러브,탱커,,,,탱커,,,,namu_guide_roles=탱커,character_default_confirmed,reviewed,4603,4306
69,Leni,레니,9,Pistol,권총,레니|권총,유틸,,,,유틸,,,,namu_guide_roles=지원가,character_default_confirmed,reviewed,5991,5405
70,Tsubame,츠바메,6,Shuriken,암기,츠바메|암기,원거리 딜러,,,,원거리 딜러,,,,namu_guide_roles=원거리 딜러,character_default_confirmed,reviewed,10123,8638
71,Kenneth,케네스,14,Axe,도끼,케네스|도끼,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_confirmed,reviewed,9314,8006
72,Katja,카티야,11,SniperRifle,저격총,카티야|저격총,원거리 딜러,,,,원거리 딜러,,,,namu_guide_roles=원거리 딜러,character_default_confirmed,reviewed,21285,15516
73,Charlotte,샬럿,24,Arcana,아르카나,샬럿|아르카나,유틸,,,,유틸,,,,namu_guide_roles=지원가,character_default_confirmed,reviewed,3386,3058
74,Darko,다르코,3,Bat,방망이,다르코|방망이,암살,브루저,,,암살,브루저,,,namu_guide_roles=전사,character_default_confirmed,reviewed,13278,10815
75,Lenore,르노어,22,Guitar,기타,르노어|기타,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,8944,7772
76,Garnet,가넷,3,Bat,방망이,가넷|방망이,탱커,브루저,,,탱커,브루저,,,namu_guide_roles=전사 + 탱커,character_default_confirmed,reviewed,6899,5996
77,YuMin,유민,24,Arcana,아르카나,유민|아르카나,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,7028,6319
78,Hisui,히스이,16,TwoHandSword,양손검,히스이|양손검,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_confirmed,reviewed,21614,15689
79,Justyna,유스티나,8,CrossBow,석궁,유스티나|석궁,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,8409,7432
80,Istvan,이슈트반,19,Spear,창,이슈트반|창,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_confirmed,reviewed,7423,6685
81,Niah,니아,9,Pistol,권총,니아|권총,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,8004,7103
82,Xuelin,슈린,21,Rapier,레이피어,슈린|레이피어,근거리 딜러,암살,,,근거리 딜러,암살,,,namu_guide_roles=암살자 + 전사,character_default_confirmed,reviewed,7476,6657
83,Henry,헨리,6,Shuriken,암기,헨리|암기,메이지,,,,메이지,,,,namu_guide_roles=스킬 딜러,character_default_confirmed,reviewed,9069,7893
84,Blair,블레어,18,DualSword,쌍검,블레어|쌍검,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_confirmed,reviewed,13273,10889
85,Mirka,미르카,13,Hammer,망치,미르카|망치,탱커,브루저,,,탱커,브루저,,,namu_guide_roles=전사 + 탱커,character_default_confirmed,reviewed,10375,8845
86,Fenrir,펜리르,1,Glove,글러브,펜리르|글러브,암살,브루저,,,암살,브루저,,,namu_guide_roles=전사,character_default_confirmed,reviewed,9596,8288
