character_code,character_name,pick_share_2.0,pick_share_3.0,pick_share_4.0,top3_rate_2.0,top3_rate_3.0,top3_rate_4.0,win_rate_2.0,win_rate_3.0,win_rate_4.0,avg_rank_2.0,avg_rank_3.0,avg_rank_4.0,delta_4_vs_2,delta_4_vs_3,delta_top3_4_vs_2,delta_top3_4_vs_3,delta_win_4_vs_2,delta_win_4_vs_3,delta_rank_4_vs_2,delta_rank_4_vs_3,meta_shift_type,patch_impact_type,meta_shift_refined
17,아드리아나,0.0,1.04,0.0,,46.83,,,16.67,,,4.03,,0.0,-1.04,,,,,,,중립/보류,보류,보류
18,쇼이치,1.25,1.26,1.4,30.92,33.99,33.53,11.18,12.42,11.76,4.61,4.65,4.62,0.15,0.14,2.61,-0.46,0.58,-0.66,0.01,-0.03,기존 상승,환경 변화 수혜,지속 상승
20,레녹스,1.47,1.5,1.98,38.2,40.11,40.0,8.99,17.58,14.58,4.39,4.1,4.26,0.51,0.48,1.8,-0.11,5.59,-3.0,-0.13,0.16,기존 상승,직접 버프 수혜,지속 상승
21,로지,2.1,1.86,1.56,38.04,40.71,35.79,12.16,13.27,12.11,4.43,4.35,4.33,-0.54,-0.3,-2.25,-4.92,-0.05,-1.16,-0.1,-0.02,기존 하락,환경 변화 밀림,지속 하락
22,루크,2.04,2.03,2.17,38.71,35.63,35.61,14.11,5.67,8.71,4.34,4.66,4.46,0.13,0.14,-3.1,-0.02,-5.4,3.04,0.12,-0.2,기존 상승,환경 변화 수혜,지속 상승
25,버니스,0.0,0.0,1.09,,,36.36,,,9.09,,,4.58,1.09,1.09,,,,,,,신규 유입,직접 버프 수혜,신규 유입
26,바바라,1.27,1.44,1.34,38.96,42.29,39.88,11.69,13.71,14.11,4.6,4.35,4.3,0.07,-0.1,0.92,-2.41,2.42,0.4,-0.3,-0.05,기존 상승,환경 변화 수혜,2.0 대비 상승 / 3.0 대비 정체·하락
27,알렉스,1.14,2.13,1.69,38.85,40.31,40.98,7.91,13.57,10.24,4.5,4.28,4.22,0.55,-0.44,2.13,0.67,2.33,-3.33,-0.28,-0.06,기존 상승,환경 변화 수혜,2.0 대비 상승 / 3.0 대비 정체·하락
28,수아,0.0,0.0,1.0,,,33.06,,,8.26,,,4.72,1.0,1.0,,,,,,,신규 유입,보류,신규 유입
29,레온,1.47,1.28,1.45,38.76,41.94,38.07,12.92,14.19,10.8,4.43,4.16,4.45,-0.02,0.17,-0.69,-3.87,-2.12,-3.39,0.02,0.29,기존 하락,환경 변화 밀림,2.0 대비 정체·하락 / 3.0 대비 회복
30,일레븐,1.33,1.42,1.18,35.19,35.47,37.06,15.43,15.12,16.08,4.51,4.46,4.32,-0.15,-0.24,1.87,1.59,0.65,0.96,-0.19,-0.14,기존 하락,환경 변화 밀림,지속 하락
31,리오,1.8,2.55,2.69,37.44,34.3,38.84,10.5,11.0,15.9,4.62,4.6,4.4,0.89,0.14,1.4,4.54,5.4,4.9,-0.22,-0.2,기존 상승,직접 버프 수혜,지속 상승
33,니키,1.32,1.13,1.43,35.62,39.42,42.53,6.88,10.95,14.94,4.79,4.44,4.3,0.11,0.3,6.91,3.11,8.06,3.99,-0.49,-0.14,기존 상승,환경 변화 수혜,지속 상승
34,나타폰,0.0,0.0,1.06,,,41.86,,,11.63,,,4.12,1.06,1.06,,,,,,,신규 유입,환경 변화 수혜,신규 유입
35,얀,0.0,0.0,1.29,,,35.67,,,14.01,,,4.54,1.29,1.29,,,,,,,신규 유입,환경 변화 수혜,신규 유입
39,카밀로,1.19,1.16,1.31,37.24,39.72,38.99,13.1,15.6,11.95,4.5,4.19,4.46,0.12,0.15,1.75,-0.73,-1.15,-3.65,-0.04,0.27,기존 상승,환경 변화 수혜,지속 상승
42,비앙카,1.23,1.0,1.21,40.94,36.07,46.26,14.09,11.48,14.97,4.33,4.42,4.06,-0.02,0.21,5.32,10.19,0.88,3.49,-0.27,-0.36,기존 하락,환경 변화 밀림,2.0 대비 정체·하락 / 3.0 대비 회복
46,에이든,0.0,0.0,1.27,,,31.82,,,13.64,,,4.6,1.27,1.27,,,,,,,신규 유입,환경 변화 수혜,신규 유입
48,띠아,0.0,1.01,0.0,,35.77,,,13.01,,,4.38,,0.0,-1.01,,,,,,,중립/보류,보류,보류
53,마커스,1.7,1.66,1.77,33.82,35.82,33.95,11.59,13.93,11.63,4.54,4.51,4.57,0.07,0.11,0.13,-1.87,0.04,-2.3,0.03,0.06,기존 상승,환경 변화 수혜,지속 상승
55,에스텔,1.01,0.0,1.07,42.28,,39.23,14.63,,15.38,3.98,,4.22,0.06,1.07,-3.05,,0.75,,0.24,,기존 상승,환경 변화 수혜,지속 상승
58,헤이즈,2.2,2.21,1.82,39.7,38.81,40.72,14.23,11.94,14.03,4.3,4.31,4.2,-0.38,-0.39,1.02,1.91,-0.2,2.09,-0.1,-0.11,기존 하락,환경 변화 밀림,지속 하락
59,아이작,1.01,0.0,1.38,45.53,,44.91,17.07,,17.37,4.11,,4.13,0.37,1.38,-0.62,,0.3,,0.02,,기존 상승,환경 변화 수혜,지속 상승
64,바냐,2.5,2.56,1.64,40.92,41.16,39.7,10.23,16.08,14.57,4.4,4.31,4.3,-0.86,-0.92,-1.22,-1.46,4.34,-1.51,-0.1,-0.01,기존 하락,환경 변화 밀림,지속 하락
65,데비&마를렌,2.33,2.16,2.6,36.75,33.21,39.87,10.95,7.25,12.97,4.45,4.62,4.32,0.27,0.44,3.12,6.66,2.02,5.72,-0.13,-0.3,기존 상승,직접 버프 수혜,지속 상승
67,아비게일,2.19,2.43,2.12,43.23,35.25,38.91,14.66,10.51,13.62,4.29,4.59,4.4,-0.07,-0.31,-4.32,3.66,-1.04,3.11,0.11,-0.19,기존 하락,환경 변화 밀림,지속 하락
68,알론소,0.0,1.02,0.0,,41.13,,,15.32,,,4.33,,0.0,-1.02,,,,,,,중립/보류,보류,보류
70,츠바메,1.23,1.47,1.33,34.23,38.2,38.89,10.07,14.61,16.67,4.57,4.44,4.38,0.1,-0.14,4.66,0.69,6.6,2.06,-0.19,-0.06,기존 상승,환경 변화 수혜,2.0 대비 상승 / 3.0 대비 정체·하락
71,케네스,1.05,1.17,1.25,37.5,32.39,38.82,10.94,11.97,13.82,4.38,4.45,4.36,0.2,0.08,1.32,6.43,2.88,1.85,-0.02,-0.09,기존 상승,직접 너프 이후 유지/반등,지속 상승
72,카티야,4.68,3.7,3.08,38.91,40.53,37.97,14.61,13.81,14.17,4.39,4.34,4.41,-1.6,-0.62,-0.94,-2.56,-0.44,0.36,0.02,0.07,기존 하락,환경 변화 밀림,지속 하락
74,다르코,2.87,2.52,2.14,38.79,38.89,33.85,12.36,11.44,12.69,4.42,4.39,4.54,-0.73,-0.38,-4.94,-5.04,0.33,1.25,0.12,0.15,기존 하락,직접 버프 대비 약세,지속 하락
75,르노어,2.12,1.76,1.62,39.3,35.51,41.12,14.79,9.81,11.68,4.46,4.59,4.27,-0.5,-0.14,1.82,5.61,-3.11,1.87,-0.19,-0.32,기존 하락,환경 변화 밀림,지속 하락
77,유민,0.0,1.0,1.05,,47.11,28.12,,17.36,13.28,,3.94,4.81,1.05,0.05,,-18.99,,-4.08,,0.87,기존 상승,환경 변화 수혜,지속 상승
78,히스이,3.44,3.88,2.92,34.45,34.39,35.21,10.29,12.1,11.55,4.73,4.61,4.52,-0.52,-0.96,0.76,0.82,1.26,-0.55,-0.21,-0.09,기존 하락,직접 버프 대비 약세,지속 하락
79,유스티나,1.38,1.07,1.12,42.51,28.46,41.18,14.37,3.85,15.44,4.2,4.72,4.23,-0.26,0.05,-1.33,12.72,1.07,11.59,0.03,-0.49,기존 하락,환경 변화 밀림,2.0 대비 정체·하락 / 3.0 대비 회복
80,이슈트반,1.15,1.16,1.1,40.0,38.3,36.84,12.14,12.77,9.02,4.39,4.5,4.53,-0.05,-0.06,-3.16,-1.46,-3.12,-3.75,0.14,0.03,기존 하락,환경 변화 밀림,지속 하락
81,니아,1.08,1.21,1.15,39.69,33.33,34.29,12.21,9.52,9.29,4.34,4.71,4.41,0.07,-0.06,-5.4,0.96,-2.92,-0.23,0.07,-0.3,기존 상승,환경 변화 수혜,2.0 대비 상승 / 3.0 대비 정체·하락
82,슈린,1.28,1.13,0.0,35.26,37.96,,9.62,13.14,,4.62,4.42,,-1.28,-1.13,,,,,,,중립/보류,보류,지속 하락
83,헨리,1.47,1.65,1.35,50.56,45.5,36.59,16.29,20.0,13.41,3.93,3.96,4.41,-0.12,-0.3,-13.97,-8.91,-2.88,-6.59,0.48,0.45,기존 하락,환경 변화 밀림,지속 하락
84,블레어,1.69,2.0,1.75,34.63,35.39,33.49,11.71,11.52,11.79,4.47,4.5,4.55,0.06,-0.25,-1.14,-1.9,0.08,0.27,0.08,0.05,기존 상승,직접 너프 이후 유지/반등,2.0 대비 상승 / 3.0 대비 정체·하락
85,미르카,1.99,1.59,1.48,37.76,42.49,36.67,13.28,12.95,14.44,4.48,4.06,4.43,-0.51,-0.11,-1.09,-5.82,1.16,1.49,-0.05,0.37,기존 하락,환경 변화 밀림,지속 하락
86,펜리르,2.53,2.13,1.15,35.5,38.22,37.86,9.77,11.97,7.86,4.54,4.39,4.47,-1.38,-0.98,2.36,-0.36,-1.91,-4.11,-0.07,0.08,기존 하락,직접 너프 영향,지속 하락
