section,section_order,display_label,primary_signature,primary_story_tag,primary_team_count,primary_team_share_pct,primary_top3_rate,primary_top3_rate_diff,primary_win_rate,primary_win_rate_diff,primary_avg_rank,primary_avg_rank_diff,secondary_signature,secondary_story_tag,secondary_team_count,secondary_share_pct,secondary_top3_rate,secondary_win_rate,secondary_avg_rank,story_priority,display_order
역할 조합,1,역할 조합: 원거리 딜러|메이지|메이지,원거리 딜러|메이지|메이지,고성능 니치 구조,1045,1.0,40.57,1.43,16.65,3.6,4.175,-0.171,세부 무기 조합 분산,대표 무기 조합 없음,26.0,2.49,,,,3,11
역할 조합,1,역할 조합: 브루저|원거리 딜러|원거리 딜러,브루저|원거리 딜러|원거리 딜러,고성능 니치 구조,985,0.94,42.44,3.3,14.92,1.87,4.242,-0.104,권총|글러브|저격총,고성능 니치 구조,32.0,3.25,50.0,18.75,3.844,3,12
역할 조합,1,역할 조합: 브루저|브루저|원거리 딜러,브루저|브루저|원거리 딜러,자주 쓰이지만 약한 구조,4952,4.74,37.42,-1.72,12.18,-0.87,4.422,0.076,글러브|양손검|저격총,보조 구조,97.0,1.96,36.08,5.15,4.557,4,13
역할 조합,1,역할 조합: 브루저|원거리 딜러|암살,브루저|원거리 딜러|암살,자주 쓰이지만 약한 구조,4950,4.74,36.77,-2.37,11.37,-1.68,4.448,0.102,글러브|방망이|저격총,보조 구조,82.0,1.66,40.24,15.85,4.402,4,14
역할 조합,1,역할 조합: 브루저|원거리 딜러|근거리 딜러,브루저|원거리 딜러|근거리 딜러,자주 쓰이지만 약한 구조,4915,4.7,36.87,-2.27,11.68,-1.37,4.452,0.106,글러브|양손검|저격총,보조 구조,201.0,4.09,35.82,10.45,4.736,4,15
무기 조합,2,무기 조합: 권총|글러브|양손검,권총|글러브|양손검,메인 표준 구조,589,0.56,37.69,-1.45,10.02,-3.03,4.477,0.131,브루저|원거리 딜러|근거리 딜러,자주 쓰이지만 약한 구조,131.0,22.24,34.35,7.63,4.634,2,16
무기 조합,2,무기 조합: 글러브|아르카나|양손검,글러브|아르카나|양손검,고성능 니치 구조,377,0.36,42.71,3.57,14.32,1.27,4.103,-0.243,브루저|근거리 딜러|메이지,메인 표준 구조,158.0,41.91,44.94,12.03,3.987,3,17
무기 조합,2,무기 조합: 권총|레이피어|양손검,권총|레이피어|양손검,고성능 니치 구조,341,0.33,42.23,3.09,14.66,1.61,4.246,-0.1,브루저|원거리 딜러|근거리 딜러,자주 쓰이지만 약한 구조,52.0,15.25,38.46,15.38,4.212,3,18
무기 조합,2,무기 조합: 글러브|양손검|투척,글러브|양손검|투척,고성능 니치 구조,281,0.27,44.13,4.99,17.79,4.74,4.146,-0.2,브루저|근거리 딜러|메이지,메인 표준 구조,101.0,35.94,43.56,21.78,4.059,3,19
무기 조합,2,무기 조합: 권총|글러브|아르카나,권총|글러브|아르카나,고성능 니치 구조,263,0.25,42.97,3.83,18.63,5.58,4.08,-0.266,브루저|원거리 딜러|메이지,메인 표준 구조,57.0,21.67,43.86,17.54,3.947,3,20
무기 조합,2,무기 조합: 망치|암기|양손검,망치|암기|양손검,고성능 니치 구조,244,0.23,41.39,2.25,16.39,3.34,4.094,-0.252,탱커|원거리 딜러|근거리 딜러,보조 구조,71.0,29.1,42.25,22.54,4.0,3,21
무기 조합,2,무기 조합: 권총|도끼|아르카나,권총|도끼|아르카나,고성능 니치 구조,201,0.19,41.29,2.15,13.93,0.88,4.114,-0.232,세부 역할 조합 분산,대표 역할 조합 없음,29.0,14.43,,,,3,22
무기 조합,2,무기 조합: 글러브|레이피어|아르카나,글러브|레이피어|아르카나,고성능 니치 구조,199,0.19,47.74,8.6,15.08,2.03,4.085,-0.261,브루저|브루저|메이지,메인 표준 구조,59.0,29.65,49.15,16.95,4.034,3,23
무기 조합,2,무기 조합: 방망이|아르카나|암기,방망이|아르카나|암기,고성능 니치 구조,196,0.19,41.33,2.19,15.31,2.26,4.204,-0.142,세부 역할 조합 분산,대표 역할 조합 없음,28.0,14.29,,,,3,24
무기 조합,2,무기 조합: 권총|망치|활,권총|망치|활,고성능 니치 구조,186,0.18,47.85,8.71,18.28,5.23,4.005,-0.341,탱커|원거리 딜러|메이지,메인 강세 구조,77.0,41.4,51.95,18.18,3.974,3,25
무기 조합,2,무기 조합: 권총|글러브|저격총,권총|글러브|저격총,고성능 니치 구조,179,0.17,43.02,3.88,15.08,2.03,4.24,-0.106,브루저|원거리 딜러|메이지,메인 표준 구조,51.0,28.49,52.94,13.73,4.059,3,26
무기 조합,2,무기 조합: 권총|단검|망치,권총|단검|망치,고성능 니치 구조,178,0.17,42.13,2.99,17.98,4.93,4.157,-0.189,탱커|암살|메이지,보조 구조,54.0,30.34,40.74,12.96,4.315,3,27
무기 조합,2,무기 조합: 권총|망치|투척,권총|망치|투척,고성능 니치 구조,177,0.17,46.89,7.75,16.38,3.33,4.096,-0.25,탱커|원거리 딜러|메이지,메인 강세 구조,79.0,44.63,50.63,16.46,4.089,3,28
무기 조합,2,무기 조합: 권총|단검|도끼,권총|단검|도끼,고성능 니치 구조,167,0.16,43.71,4.57,18.56,5.51,3.976,-0.37,세부 역할 조합 분산,대표 역할 조합 없음,26.0,15.57,,,,3,29
무기 조합,2,무기 조합: 돌격소총|방망이|아르카나,돌격소총|방망이|아르카나,고성능 니치 구조,164,0.16,48.17,9.03,15.24,2.19,3.963,-0.383,세부 역할 조합 분산,대표 역할 조합 없음,26.0,15.85,,,,3,30
무기 조합,2,무기 조합: 돌격소총|망치|아르카나,돌격소총|망치|아르카나,고성능 니치 구조,164,0.16,42.68,3.54,14.63,1.58,4.073,-0.273,탱커|원거리 딜러|메이지,메인 강세 구조,76.0,46.34,46.05,14.47,4.066,3,31
무기 조합,2,무기 조합: 암기|저격총|채찍,암기|저격총|채찍,고성능 니치 구조,163,0.16,47.24,8.1,16.56,3.51,4.098,-0.248,탱커|원거리 딜러|메이지,메인 강세 구조,112.0,68.71,43.75,17.86,4.188,3,32
무기 조합,2,무기 조합: 권총|망치|방망이,권총|망치|방망이,고성능 니치 구조,163,0.16,41.1,1.96,14.72,1.67,4.16,-0.186,탱커|원거리 딜러|근거리 딜러,보조 구조,30.0,18.4,40.0,16.67,4.0,3,33
무기 조합,2,무기 조합: 글러브|레이피어|양손검,글러브|레이피어|양손검,고성능 니치 구조,157,0.15,41.4,2.26,15.92,2.87,4.255,-0.091,세부 역할 조합 분산,대표 역할 조합 없음,26.0,16.56,,,,3,34
무기 조합,2,무기 조합: 레이피어|양손검|투척,레이피어|양손검|투척,고성능 니치 구조,157,0.15,40.76,1.62,14.01,0.96,4.172,-0.174,브루저|근거리 딜러|메이지,메인 표준 구조,30.0,19.11,36.67,6.67,4.433,3,35
무기 조합,2,무기 조합: 권총|글러브|톤파,권총|글러브|톤파,고성능 니치 구조,156,0.15,45.51,6.37,15.38,2.33,4.0,-0.346,브루저|브루저|메이지,메인 표준 구조,51.0,32.69,54.9,17.65,3.627,3,36
무기 조합,2,무기 조합: 권총|도끼|망치,권총|도끼|망치,고성능 니치 구조,154,0.15,44.16,5.02,16.88,3.83,4.13,-0.216,탱커|원거리 딜러|암살,메인 표준 구조,52.0,33.77,50.0,19.23,3.827,3,37
무기 조합,2,무기 조합: 권총|채찍|활,권총|채찍|활,고성능 니치 구조,153,0.15,49.67,10.53,18.95,5.9,3.771,-0.575,탱커|원거리 딜러|메이지,메인 강세 구조,71.0,46.41,47.89,19.72,3.831,3,38
무기 조합,2,무기 조합: 망치|암기|투척,망치|암기|투척,고성능 니치 구조,152,0.15,46.71,7.57,17.76,4.71,3.987,-0.359,탱커|원거리 딜러|메이지,메인 강세 구조,88.0,57.89,53.41,21.59,3.648,3,39
무기 조합,2,무기 조합: 권총|글러브|투척,권총|글러브|투척,고성능 니치 구조,152,0.15,46.05,6.91,15.79,2.74,3.987,-0.359,브루저|원거리 딜러|메이지,메인 표준 구조,42.0,27.63,40.48,16.67,4.048,3,40
무기 조합,2,무기 조합: 저격총|채찍|투척,저격총|채찍|투척,고성능 니치 구조,150,0.14,50.67,11.53,21.33,8.28,3.8,-0.546,탱커|원거리 딜러|메이지,메인 강세 구조,120.0,80.0,50.83,22.5,3.725,3,41
무기 조합,2,무기 조합: 레이피어|망치|저격총,레이피어|망치|저격총,고성능 니치 구조,149,0.14,42.28,3.14,22.15,9.1,4.181,-0.165,탱커|브루저|원거리 딜러,메인 표준 구조,61.0,40.94,40.98,22.95,4.262,3,42
무기 조합,2,무기 조합: 레이피어|방망이|암기,레이피어|방망이|암기,고성능 니치 구조,147,0.14,41.5,2.36,14.29,1.24,4.136,-0.21,세부 역할 조합 분산,대표 역할 조합 없음,13.0,8.84,,,,3,43
무기 조합,2,무기 조합: 권총|글러브|돌격소총,권총|글러브|돌격소총,고성능 니치 구조,143,0.14,53.85,14.71,16.78,3.73,3.958,-0.388,브루저|원거리 딜러|메이지,메인 표준 구조,46.0,32.17,52.17,13.04,4.065,3,44
무기 조합,2,무기 조합: 글러브|기타|양손검,글러브|기타|양손검,고성능 니치 구조,136,0.13,46.32,7.18,20.59,7.54,4.0,-0.346,브루저|근거리 딜러|메이지,메인 표준 구조,59.0,43.38,54.24,23.73,3.695,3,45
무기 조합,2,무기 조합: 권총|아르카나|채찍,권총|아르카나|채찍,고성능 니치 구조,132,0.13,46.97,7.83,18.18,5.13,3.917,-0.429,탱커|원거리 딜러|메이지,메인 강세 구조,34.0,25.76,52.94,20.59,3.559,3,46
무기 조합,2,무기 조합: 글러브|망치|암기,글러브|망치|암기,고성능 니치 구조,131,0.13,49.62,10.48,14.5,1.45,3.985,-0.361,탱커|브루저|원거리 딜러,메인 표준 구조,49.0,37.4,51.02,20.41,3.959,3,47
무기 조합,2,무기 조합: 돌격소총|아르카나|채찍,돌격소총|아르카나|채찍,고성능 니치 구조,126,0.12,45.24,6.1,18.25,5.2,3.992,-0.354,탱커|원거리 딜러|메이지,메인 강세 구조,62.0,49.21,45.16,22.58,3.968,3,48
무기 조합,2,무기 조합: 돌격소총|암기|채찍,돌격소총|암기|채찍,고성능 니치 구조,126,0.12,41.27,2.13,15.08,2.03,4.127,-0.219,탱커|원거리 딜러|메이지,메인 강세 구조,99.0,78.57,41.41,17.17,4.061,3,49
무기 조합,2,무기 조합: 암기|양손검|채찍,암기|양손검|채찍,고성능 니치 구조,125,0.12,43.2,4.06,21.6,8.55,4.072,-0.274,탱커|근거리 딜러|메이지,고성능 니치 구조,30.0,24.0,46.67,26.67,3.967,3,50
무기 조합,2,무기 조합: 도끼|레이피어|아르카나,도끼|레이피어|아르카나,고성능 니치 구조,123,0.12,47.15,8.01,17.89,4.84,4.057,-0.289,세부 역할 조합 분산,대표 역할 조합 없음,24.0,19.51,,,,3,51
무기 조합,2,무기 조합: 권총|도끼|투척,권총|도끼|투척,고성능 니치 구조,120,0.11,47.5,8.36,16.67,3.62,4.017,-0.329,세부 역할 조합 분산,대표 역할 조합 없음,21.0,17.5,,,,3,52
무기 조합,2,무기 조합: 돌격소총|망치|저격총,돌격소총|망치|저격총,고성능 니치 구조,120,0.11,45.0,5.86,14.17,1.12,4.092,-0.254,탱커|원거리 딜러|메이지,메인 강세 구조,71.0,59.17,42.25,9.86,4.324,3,53
무기 조합,2,무기 조합: 단검|망치|활,단검|망치|활,고성능 니치 구조,119,0.11,44.54,5.4,16.81,3.76,4.05,-0.296,탱커|원거리 딜러|암살,메인 표준 구조,88.0,73.95,44.32,13.64,4.102,3,54
무기 조합,2,무기 조합: 도끼|망치|저격총,도끼|망치|저격총,고성능 니치 구조,118,0.11,47.46,8.32,15.25,2.2,3.992,-0.354,탱커|원거리 딜러|암살,메인 표준 구조,86.0,72.88,46.51,17.44,4.0,3,55
무기 조합,2,무기 조합: 암기|양손검|투척,암기|양손검|투척,고성능 니치 구조,118,0.11,43.22,4.08,18.64,5.59,4.195,-0.151,근거리 딜러|메이지|메이지,보조 구조,31.0,26.27,45.16,12.9,4.097,3,56
무기 조합,2,무기 조합: 암기|채찍|투척,암기|채찍|투척,고성능 니치 구조,117,0.11,48.72,9.58,18.8,5.75,3.872,-0.474,탱커|원거리 딜러|메이지,메인 강세 구조,70.0,59.83,47.14,18.57,3.957,3,57
무기 조합,2,무기 조합: 글러브|암기|투척,글러브|암기|투척,고성능 니치 구조,117,0.11,45.3,6.16,17.09,4.04,3.957,-0.389,세부 역할 조합 분산,대표 역할 조합 없음,28.0,23.93,,,,3,58
무기 조합,2,무기 조합: 양손검|톤파|투척,양손검|톤파|투척,고성능 니치 구조,117,0.11,43.59,4.45,15.38,2.33,4.12,-0.226,브루저|근거리 딜러|메이지,메인 표준 구조,67.0,57.26,46.27,14.93,3.955,3,59
무기 조합,2,무기 조합: 아르카나|양손검|활,아르카나|양손검|활,고성능 니치 구조,115,0.11,46.96,7.82,20.0,6.95,3.974,-0.372,원거리 딜러|근거리 딜러|메이지,고성능 니치 구조,32.0,27.83,62.5,25.0,3.281,3,60
무기 조합,2,무기 조합: 채찍|투척|활,채찍|투척|활,고성능 니치 구조,112,0.11,50.0,10.86,20.54,7.49,3.973,-0.373,탱커|원거리 딜러|메이지,메인 강세 구조,85.0,75.89,52.94,22.35,3.882,3,61
무기 조합,2,무기 조합: 양손검|채찍|투척,양손검|채찍|투척,고성능 니치 구조,107,0.1,42.06,2.92,14.95,1.9,4.252,-0.094,탱커|근거리 딜러|메이지,고성능 니치 구조,36.0,33.64,50.0,25.0,3.75,3,62
무기 조합,2,무기 조합: 권총|권총|방망이,권총|권총|방망이,고성능 니치 구조,106,0.1,50.0,10.86,15.09,2.04,3.83,-0.516,세부 역할 조합 분산,대표 역할 조합 없음,14.0,13.21,,,,3,63
무기 조합,2,무기 조합: 글러브|저격총|투척,글러브|저격총|투척,고성능 니치 구조,106,0.1,44.34,5.2,19.81,6.76,4.151,-0.195,탱커|원거리 딜러|메이지,메인 강세 구조,48.0,45.28,47.92,22.92,4.021,3,64
무기 조합,2,무기 조합: 방망이|암기|투척,방망이|암기|투척,고성능 니치 구조,104,0.1,42.31,3.17,15.38,2.33,4.077,-0.269,세부 역할 조합 분산,대표 역할 조합 없음,17.0,16.35,,,,3,65
무기 조합,2,무기 조합: 도끼|아르카나|투척,도끼|아르카나|투척,고성능 니치 구조,104,0.1,41.35,2.21,14.42,1.37,4.183,-0.163,세부 역할 조합 분산,대표 역할 조합 없음,22.0,21.15,,,,3,66
무기 조합,2,무기 조합: 도끼|암기|투척,도끼|암기|투척,고성능 니치 구조,103,0.1,40.78,1.64,15.53,2.48,4.126,-0.22,세부 역할 조합 분산,대표 역할 조합 없음,26.0,25.24,,,,3,67
무기 조합,2,무기 조합: 돌격소총|방망이|암기,돌격소총|방망이|암기,고성능 니치 구조,102,0.1,47.06,7.92,16.67,3.62,4.039,-0.307,세부 역할 조합 분산,대표 역할 조합 없음,29.0,28.43,,,,3,68
무기 조합,2,무기 조합: 돌격소총|쌍검|양손검,돌격소총|쌍검|양손검,고성능 니치 구조,102,0.1,43.14,4.0,16.67,3.62,4.069,-0.277,세부 역할 조합 분산,대표 역할 조합 없음,22.0,21.57,,,,3,69
무기 조합,2,무기 조합: 단검|레이피어|아르카나,단검|레이피어|아르카나,고성능 니치 구조,100,0.1,41.0,1.86,14.0,0.95,4.06,-0.286,세부 역할 조합 분산,대표 역할 조합 없음,21.0,21.0,,,,3,70
